GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99789,AK,99789,99789,79000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99790,AK,99790,99790,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99791,AK,99791,99791,84625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99801,AK,99801,99801,131907,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99820,AK,99820,99820,55000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99824,AK,99824,99824,99688,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99825,AK,99825,99825,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99826,AK,99826,99826,110313,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99827,AK,99827,99827,114593,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99829,AK,99829,99829,105625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99830,AK,99830,99830,56058,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99832,AK,99832,99832,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99833,AK,99833,99833,90246,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99835,AK,99835,99835,117434,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99836,AK,99836,99836,53438,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99840,AK,99840,99840,134583,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99841,AK,99841,99841,89167,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99850,AK,99850,99850,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99901,AK,99901,99901,120804,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99903,AK,99903,99903,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99918,AK,99918,99918,51875,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99919,AK,99919,99919,80455,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99921,AK,99921,99921,87344,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99922,AK,99922,99922,44643,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99923,AK,99923,99923,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99925,AK,99925,99925,82125,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99926,AK,99926,99926,82969,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99927,AK,99927,99927,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99929,AK,99929,99929,76944,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35004,AL,35004,35004,108160,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35005,AL,35005,35005,66932,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35006,AL,35006,35006,75764,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35007,AL,35007,35007,103365,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35010,AL,35010,35010,70898,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35013,AL,35013,35013,36250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35014,AL,35014,35014,75972,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35016,AL,35016,35016,77870,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35019,AL,35019,35019,56897,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35020,AL,35020,35020,43260,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35022,AL,35022,35022,104306,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35023,AL,35023,35023,77004,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35031,AL,35031,35031,67703,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35032,AL,35032,35032,31875,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35033,AL,35033,35033,58448,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35034,AL,35034,35034,37012,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35035,AL,35035,35035,66722,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35036,AL,35036,35036,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35040,AL,35040,35040,98345,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35042,AL,35042,35042,68424,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35043,AL,35043,35043,132518,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35044,AL,35044,35044,60523,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35045,AL,35045,35045,85776,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35046,AL,35046,35046,93047,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35049,AL,35049,35049,81012,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35051,AL,35051,35051,93750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35052,AL,35052,35052,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35053,AL,35053,35053,74211,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35054,AL,35054,35054,96700,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35055,AL,35055,35055,88869,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35057,AL,35057,35057,95621,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35058,AL,35058,35058,74102,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35060,AL,35060,35060,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35061,AL,35061,35061,90463,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35062,AL,35062,35062,82563,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35063,AL,35063,35063,71519,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35064,AL,35064,35064,57461,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,35068,AL,35068,35068,81563,2020-2024,2020,Census,United States (Nation)
