GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99714,AK,99714,99714,64769,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99720,AK,99720,99720,24375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99721,AK,99721,99721,63750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99722,AK,99722,99722,25417,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99723,AK,99723,99723,88750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99724,AK,99724,99724,38750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99726,AK,99726,99726,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99727,AK,99727,99727,43750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99729,AK,99729,99729,87500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99730,AK,99730,99730,61154,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99732,AK,99732,99732,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99733,AK,99733,99733,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99734,AK,99734,99734,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99736,AK,99736,99736,49375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99737,AK,99737,99737,87159,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99738,AK,99738,99738,55625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99739,AK,99739,99739,56250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99740,AK,99740,99740,50208,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99741,AK,99741,99741,80000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99742,AK,99742,99742,44500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99743,AK,99743,99743,105750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99744,AK,99744,99744,121875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99745,AK,99745,99745,37917,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99746,AK,99746,99746,41250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99747,AK,99747,99747,67083,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99748,AK,99748,99748,58750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99749,AK,99749,99749,45313,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99750,AK,99750,99750,55208,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99751,AK,99751,99751,62500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99752,AK,99752,99752,82639,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99753,AK,99753,99753,37679,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99754,AK,99754,99754,46250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99755,AK,99755,99755,105714,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99756,AK,99756,99756,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99757,AK,99757,99757,59167,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99758,AK,99758,99758,47500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99759,AK,99759,99759,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99760,AK,99760,99760,73750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99761,AK,99761,99761,47813,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99762,AK,99762,99762,88512,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99763,AK,99763,99763,48750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99764,AK,99764,99764,115313,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99765,AK,99765,99765,52813,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99766,AK,99766,99766,62813,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99767,AK,99767,99767,53750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99768,AK,99768,99768,50000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99769,AK,99769,99769,46250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99770,AK,99770,99770,32344,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99771,AK,99771,99771,54167,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99772,AK,99772,99772,31875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99773,AK,99773,99773,48438,2015-2019,2010,Census,United States (Nation)
